"Year","state.nam","state.code","Sum_Total_Homeless","Sum_Unemploy_Rate","mean.homeless","mean.unemploy"
2007,"Alabama","AL",5452,351.1,5106.3,624
2008,"Alabama","AL",5387,398,5106.3,624
2009,"Alabama","AL",6080,794.8,5106.3,624
2010,"Alabama","AL",6046,968.3,5106.3,624
2011,"Alabama","AL",5558,864,5106.3,624
2012,"Alabama","AL",5209,643.4,5106.3,624
2013,"Alabama","AL",4689,644.9,5106.3,624
2014,"Alabama","AL",4561,592.2,5106.3,624
2015,"Alabama","AL",3970,495.8,5106.3,624
2016,"Alabama","AL",4111,487.5,5106.3,624
2007,"Arizona","AZ",14646,82.8,11803.2,149.56
2008,"Arizona","AZ",12488,93.5,11803.2,149.56
2009,"Arizona","AZ",14721,166,11803.2,149.56
2010,"Arizona","AZ",13711,212.3,11803.2,149.56
2011,"Arizona","AZ",10504,190.1,11803.2,149.56
2012,"Arizona","AZ",11302,176.1,11803.2,149.56
2013,"Arizona","AZ",10562,168.2,11803.2,149.56
2014,"Arizona","AZ",10495,150.3,11803.2,149.56
2015,"Arizona","AZ",9896,139.9,11803.2,149.56
2016,"Arizona","AZ",9707,116.4,11803.2,149.56
2007,"Arkansas","AR",3836,521.4,3211.4,633.61
2008,"Arkansas","AR",3255,500.9,3211.4,633.61
2009,"Arkansas","AR",2852,681,3211.4,633.61
2010,"Arkansas","AR",2762,760.6,3211.4,633.61
2011,"Arkansas","AR",3424,794.9,3211.4,633.61
2012,"Arkansas","AR",4214,727,3211.4,633.61
2013,"Arkansas","AR",3812,724.2,3211.4,633.61
2014,"Arkansas","AR",2936,644.9,3211.4,633.61
2015,"Arkansas","AR",2560,563.4,3211.4,633.61
2016,"Arkansas","AR",2463,417.8,3211.4,633.61
2007,"California","CA",138986,437,123428.5,498.51
2008,"California","CA",136531,506.1,123428.5,498.51
2009,"California","CA",123678,712.7,123428.5,498.51
2010,"California","CA",123480,865.7,123428.5,498.51
2011,"California","CA",125128,871.2,123428.5,498.51
2012,"California","CA",120098,0,123428.5,498.51
2013,"California","CA",118552,0,123428.5,498.51
2014,"California","CA",113952,610.8,123428.5,498.51
2015,"California","CA",115738,528.3,123428.5,498.51
2016,"California","CA",118142,453.3,123428.5,498.51
2007,"Colorado","CO",14225,267.3,13189.1,415.96
2008,"Colorado","CO",14747,291.5,13189.1,415.96
2009,"Colorado","CO",15268,387.4,13189.1,415.96
2010,"Colorado","CO",15482,557.6,13189.1,415.96
2011,"Colorado","CO",15116,595.6,13189.1,415.96
2012,"Colorado","CO",16768,550.3,13189.1,415.96
2013,"Colorado","CO",9754,530.8,13189.1,415.96
2014,"Colorado","CO",10028,442.9,13189.1,415.96
2015,"Colorado","CO",9953,321.2,13189.1,415.96
2016,"Colorado","CO",10550,215,13189.1,415.96
2007,"Connecticut","CT",4482,38.5,4354.2,58.62
2008,"Connecticut","CT",4627,43.2,4354.2,58.62
2009,"Connecticut","CT",4605,58.1,4354.2,58.62
2010,"Connecticut","CT",4316,75,4354.2,58.62
2011,"Connecticut","CT",4456,76.2,4354.2,58.62
2012,"Connecticut","CT",4209,68.1,4354.2,58.62
2013,"Connecticut","CT",4448,67.9,4354.2,58.62
2014,"Connecticut","CT",4450,59.4,4354.2,58.62
2015,"Connecticut","CT",4047,52.5,4354.2,58.62
2016,"Connecticut","CT",3902,47.3,4354.2,58.62
2007,"Delaware","DE",1061,11.5,1001.9,20.7
2008,"Delaware","DE",933,13.4,1001.9,20.7
2009,"Delaware","DE",1130,24.1,1001.9,20.7
2010,"Delaware","DE",982,29,1001.9,20.7
2011,"Delaware","DE",1035,26.6,1001.9,20.7
2012,"Delaware","DE",1008,24.1,1001.9,20.7
2013,"Delaware","DE",946,24.6,1001.9,20.7
2014,"Delaware","DE",901,20.7,1001.9,20.7
2015,"Delaware","DE",953,17.2,1001.9,20.7
2016,"Delaware","DE",1070,15.8,1001.9,20.7
2007,"Hawaii","HI",6070,10.4,6497.5,22.91
2008,"Hawaii","HI",6061,13.9,6497.5,22.91
2009,"Hawaii","HI",5782,31.7,6497.5,22.91
2010,"Hawaii","HI",5834,33.9,6497.5,22.91
2011,"Hawaii","HI",6188,32.4,6497.5,22.91
2012,"Hawaii","HI",6246,31.2,6497.5,22.91
2013,"Hawaii","HI",6335,23,6497.5,22.91
2014,"Hawaii","HI",6918,21,6497.5,22.91
2015,"Hawaii","HI",7620,17.8,6497.5,22.91
2016,"Hawaii","HI",7921,13.8,6497.5,22.91
2007,"Idaho","ID",1749,237.2,1976.3,352.13
2008,"Idaho","ID",1464,204,1976.3,352.13
2009,"Idaho","ID",1939,404.5,1976.3,352.13
2010,"Idaho","ID",2346,507.8,1976.3,352.13
2011,"Idaho","ID",2199,486.8,1976.3,352.13
2012,"Idaho","ID",1968,440.2,1976.3,352.13
2013,"Idaho","ID",1781,388.4,1976.3,352.13
2014,"Idaho","ID",2104,324.5,1976.3,352.13
2015,"Idaho","ID",1966,270,1976.3,352.13
2016,"Idaho","ID",2247,257.9,1976.3,352.13
2007,"Illinois","IL",15487,577.8,13811.3,890.01
2008,"Illinois","IL",14724,678.9,13811.3,890.01
2009,"Illinois","IL",14055,948.4,13811.3,890.01
2010,"Illinois","IL",14395,1244.9,13811.3,890.01
2011,"Illinois","IL",14009,991.3,13811.3,890.01
2012,"Illinois","IL",14144,965.3,13811.3,890.01
2013,"Illinois","IL",13425,1060.7,13811.3,890.01
2014,"Illinois","IL",13107,911.8,13811.3,890.01
2015,"Illinois","IL",13177,704.3,13811.3,890.01
2016,"Illinois","IL",11590,816.7,13811.3,890.01
2007,"Indiana","IN",7358,530.6,6437.2,755.65
2008,"Indiana","IN",7395,521.5,6437.2,755.65
2009,"Indiana","IN",6984,963.2,6437.2,755.65
2010,"Indiana","IN",6452,1141.5,6437.2,755.65
2011,"Indiana","IN",6196,945.8,6437.2,755.65
2012,"Indiana","IN",6259,872.1,6437.2,755.65
2013,"Indiana","IN",6096,902.2,6437.2,755.65
2014,"Indiana","IN",5971,621.8,6437.2,755.65
2015,"Indiana","IN",5863,570.9,6437.2,755.65
2016,"Indiana","IN",5798,486.9,6437.2,755.65
2007,"Iowa","IA",2734,479.8,3088.7,585.65
2008,"Iowa","IA",3346,477.5,3088.7,585.65
2009,"Iowa","IA",3380,738.5,3088.7,585.65
2010,"Iowa","IA",3014,761.7,3088.7,585.65
2011,"Iowa","IA",3134,685.8,3088.7,585.65
2012,"Iowa","IA",2928,615,3088.7,585.65
2013,"Iowa","IA",3084,607.5,3088.7,585.65
2014,"Iowa","IA",3122,540.4,3088.7,585.65
2015,"Iowa","IA",3081,486,3088.7,585.65
2016,"Iowa","IA",3064,464.3,3088.7,585.65
2007,"Kansas","KS",1924,440.2,2094.9,532.9
2008,"Kansas","KS",1572,433.5,2094.9,532.9
2009,"Kansas","KS",1670,554,2094.9,532.9
2010,"Kansas","KS",1809,701.9,2094.9,532.9
2011,"Kansas","KS",2308,664.7,2094.9,532.9
2012,"Kansas","KS",2458,591.7,2094.9,532.9
2013,"Kansas","KS",2331,571.6,2094.9,532.9
2014,"Kansas","KS",2521,480.5,2094.9,532.9
2015,"Kansas","KS",2348,444.8,2094.9,532.9
2016,"Kansas","KS",2008,446.1,2094.9,532.9
2007,"Kentucky","KY",8061,866.8,5919.3,939.44
2008,"Kentucky","KY",8137,0,5919.3,939.44
2009,"Kentucky","KY",5999,0,5919.3,939.44
2010,"Kentucky","KY",6623,1592.7,5919.3,939.44
2011,"Kentucky","KY",6034,1448,5919.3,939.44
2012,"Kentucky","KY",5230,1240.2,5919.3,939.44
2013,"Kentucky","KY",5245,1274.3,5919.3,939.44
2014,"Kentucky","KY",5089,1153.1,5919.3,939.44
2015,"Kentucky","KY",4538,881.4,5919.3,939.44
2016,"Kentucky","KY",4237,937.9,5919.3,939.44
2007,"Louisiana","LA",5494,0,7093.1,328.47
2008,"Louisiana","LA",5481,0,7093.1,328.47
2009,"Louisiana","LA",12504,0,7093.1,328.47
2010,"Louisiana","LA",12482,615,7093.1,328.47
2011,"Louisiana","LA",9291,655.3,7093.1,328.47
2012,"Louisiana","LA",7772,0,7093.1,328.47
2013,"Louisiana","LA",5226,581.1,7093.1,328.47
2014,"Louisiana","LA",4606,422,7093.1,328.47
2015,"Louisiana","LA",4081,542.3,7093.1,328.47
2016,"Louisiana","LA",3994,469,7093.1,328.47
