"Year","state","state.code","Sum_Total_Homeless","Sum_Unemploy_Rate","mean.homeless","mean.unemploy","est_pop","homeless_proportion","unemploy_proportion"
2007,"Alabama","AL",5452,351.1,5106.3,624,4672840,0.00116674228092552,7.51363196685527e-05
2007,"Arizona","AZ",14646,82.8,11803.2,149.56,6167681,0.00237463643142374,1.34248188257467e-05
2007,"Arkansas","AR",3836,521.4,3211.4,633.61,2848650,0.0013466027767539,0.000183034068769417
2007,"California","CA",138986,437,123428.5,498.51,36250311,0.00383406365810213,1.2055068989615e-05
2007,"Colorado","CO",14225,267.3,13189.1,415.96,4803868,0.00296115546888466,5.56426612887781e-05
2007,"Connecticut","CT",4482,38.5,4354.2,58.62,3527270,0.00127067108557043,1.09149568930079e-05
2007,"Delaware","DE",1061,11.5,1001.9,20.7,871749,0.00121709345235842,1.31918705957793e-05
2007,"Hawaii","HI",6070,10.4,6497.5,22.91,1315675,0.00461360138332035,7.90468770783058e-06
2007,"Idaho","ID",1749,237.2,1976.3,352.13,1505105,0.00116204517292813,0.000157596978283907
2007,"Illinois","IL",15487,577.8,13811.3,890.01,12695866,0.00121984589314348,4.55108773202238e-05
2007,"Indiana","IN",7358,530.6,6437.2,755.65,6379599,0.00115336402805255,8.31713717429575e-05
2007,"Iowa","IA",2734,479.8,3088.7,585.65,2999212,0.000911572773115072,0.000159975353526193
2007,"Kansas","KS",1924,440.2,2094.9,532.9,2783785,0.000691145329111264,0.000158130028001444
2007,"Kentucky","KY",8061,866.8,5919.3,939.44,4256672,0.00189373294442231,0.00020363326091369
2007,"Louisiana","LA",5494,0,7093.1,328.47,4375581,0.00125560468426936,0
2007,"Maine","ME",2638,97.1,2528.8,128.84,1327040,0.00198788280684832,7.317036411864e-05
2007,"Maryland","MD",9628,111.9,9319.2,175.84,5653408,0.0017030435447079,1.97933706535951e-05
2007,"Massachusetts","MA",15127,83.1,17693.5,113.1,6431559,0.0023519958380231,1.29206620043445e-05
2007,"Michigan","MI",28295,780.8,15296.9,658.28,10001284,0.00282913673884273,7.80699758151053e-05
2007,"Minnesota","MN",7323,602.7,7727.1,651.42,5207203,0.00140632120545329,0.000115743519121494
2007,"Mississippi","MS",1377,674,2194.7,851.98,2928350,0.00047023067597794,0.000230163744087968
2007,"Missouri","MO",6434,660,7911,917.75,5887612,0.00109280299041445,0.000112099778314196
2007,"Montana","MT",1150,241.9,1572.9,354.64,964706,0.00119207302535695,0.000250749969420735
2007,"Nebraska","NE",3531,329.2,3411.7,381.19,1783440,0.00197988157717669,0.000184587090117974
2007,"Nevada","NV",8642,88,8907.1,156.47,2601072,0.00332247627132198,3.38322045679627e-05
2007,"New Hampshire","NH",2248,42.6,1608.5,52.18,1312540,0.00171270970789462,3.245615371722e-05
2007,"New Jersey","NJ",17314,108.1,12788,175.24,8677885,0.00199518661517178,1.24569523564786e-05
2007,"New Mexico","NM",3015,146.9,3028.3,241.53,1990070,0.00151502208465029,7.38164989171235e-05
2007,"New York","NY",62601,346.4,71603.2,497.59,19132335,0.0032719999937279,1.81054743187384e-05
2007,"North Carolina","NC",11802,578.6,11964.5,935.65,9118037,0.00129435754647629,6.34566409414658e-05
2007,"North Dakota","ND",636,249.6,966.9,249.92,652822,0.000974231873313093,0.000382340055941742
2007,"Ohio","OH",11264,605.8,12218.6,807.37,11500468,0.000979438401985032,5.26761171806226e-05
2007,"Oklahoma","OK",4221,357.3,4427.4,436.06,3634349,0.00116141845485945,9.83119672876766e-05
2007,"Oregon","OR",17590,253.1,16057.6,360.16,3722417,0.00472542436809202,6.79934569394025e-05
2007,"Pennsylvania","PA",16220,374.3,15222.1,523.41,12563937,0.00129099660401035,2.97916170703498e-05
2007,"Rhode Island","RI",1372,27.4,1264.9,44.97,1057315,0.00129762653513853,2.59146990253614e-05
2007,"South Carolina","SC",5660,368.5,5228,469.11,4444110,0.00127359583808682,8.29187396351575e-05
2007,"South Dakota","SD",579,294.4,839.2,333.56,791623,0.000731408764020247,0.000371894197111504
2007,"Tennessee","TN",11210,590.4,9710.7,893,6175727,0.00181517091024263,9.56000807678189e-05
2007,"Texas","TX",39788,0,32773.3,1161.96,23831983,0.00166952116405924,0
2007,"Utah","UT",3011,108.3,3237.1,204.88,2597746,0.0011590817578008,4.16899881666645e-05
2007,"Vermont","VT",1035,72.2,1238,86.63,623481,0.00166003454796538,0.000115801443829082
2007,"Virginia","VA",9746,561.3,8130.1,745.68,7751000,0.00125738614372339,7.24164623919494e-05
2007,"Washington","WA",23379,302.3,20838.4,384.88,6461587,0.0036181513922199,4.67841723712766e-05
2007,"West Virginia","WV",2409,317,2045.2,470.39,1834052,0.00131348511383538,0.000172841337104946
2007,"Wisconsin","WI",5648,476,5966.8,580.5,5610775,0.0010066345558323,8.48367649745356e-05
2007,"Wyoming","WY",537,84.1,859.8,127.62,534876,0.00100397101384246,0.000157232704402516
2008,"Alabama","AL",5387,398,5106.3,624,4718206,0.00114174752013795,8.43540956032865e-05
2008,"Arizona","AZ",12488,93.5,11803.2,149.56,6280362,0.00198842041270869,1.48876768568436e-05
2008,"Arkansas","AR",3255,500.9,3211.4,633.61,2874554,0.00113234957492536,0.000174253118918622
2008,"California","CA",136531,506.1,123428.5,498.51,36604337,0.00372991320673285,1.38262304819235e-05
2008,"Colorado","CO",14747,291.5,13189.1,415.96,4889730,0.00301591294406849,5.96147435543476e-05
2008,"Connecticut","CT",4627,43.2,4354.2,58.62,3545579,0.00130500547301301,1.2184187688386e-05
2008,"Delaware","DE",933,13.4,1001.9,20.7,883874,0.00105558032027189,1.51605319310218e-05
2008,"Hawaii","HI",6061,13.9,6497.5,22.91,1332213,0.00454957277852716,1.04337669726988e-05
2008,"Idaho","ID",1464,204,1976.3,352.13,1534320,0.000954168621930236,0.000132957922727984
2008,"Illinois","IL",14724,678.9,13811.3,890.01,12747038,0.00115509187310809,5.32594317205299e-05
2008,"Indiana","IN",7395,521.5,6437.2,755.65,6424806,0.00115100751680284,8.11697660598623e-05
2008,"Iowa","IA",3346,477.5,3088.7,585.65,3016734,0.00110914651407781,0.0001582837598542
2008,"Kansas","KS",1572,433.5,2094.9,532.9,2808076,0.000559813908170577,0.000154376163608107
2008,"Kentucky","KY",8137,0,5919.3,939.44,4289878,0.00189679053809922,0
2008,"Louisiana","LA",5481,0,7093.1,328.47,4435586,0.00123568791136053,0
2008,"Maine","ME",2632,105.1,2528.8,128.84,1330509,0.00197819030160638,7.89923254934766e-05
2008,"Maryland","MD",9219,104.3,9319.2,175.84,5684965,0.00162164586765266,1.8346638897513e-05
2008,"Massachusetts","MA",14506,80.8,17693.5,113.1,6468967,0.00224239820669977,1.24904022543321e-05
2008,"Michigan","MI",28248,0,15296.9,658.28,9946889,0.00283988290208124,0
2008,"Minnesota","MN",7644,601.9,7727.1,651.42,5247018,0.00145682747800751,0.000114712775904333
2008,"Mississippi","MS",1961,636.9,2194.7,851.98,2947806,0.000665240521255469,0.000216058994384298
2008,"Missouri","MO",7853,710.3,7911,917.75,5923916,0.00132564337509175,0.000119903793369116
2008,"Montana","MT",1417,309,1572.9,354.64,976415,0.00145122719335528,0.000316463798692154
2008,"Nebraska","NE",3985,338.7,3411.7,381.19,1796378,0.00221835270750365,0.000188546063245041
2008,"Nevada","NV",8726,106.1,8907.1,156.47,2653630,0.00328832580276828,3.99829667285944e-05
2008,"New Hampshire","NH",2019,41.1,1608.5,52.18,1315906,0.00153430412202695,3.12332339847983e-05
2008,"New Jersey","NJ",13832,116.1,12788,175.24,8711090,0.00158786099098965,1.33278384220574e-05
2008,"New Mexico","NM",3015,148.1,3028.3,241.53,2010662,0.00149950613280601,7.36573327590614e-05
2008,"New York","NY",61125,387.3,71603.2,497.59,19212436,0.00318153304453428,2.01588179656135e-05
2008,"North Carolina","NC",12411,615.3,11964.5,935.65,9309449,0.00133316160816822,6.60941372577475e-05
2008,"North Dakota","ND",615,238.5,966.9,249.92,657569,0.000935263067449956,0.000362699579815959
2008,"Ohio","OH",12912,615,12218.6,807.37,11515391,0.00112128194344421,5.34067840162787e-05
2008,"Oklahoma","OK",3846,288.3,4427.4,436.06,3668976,0.00104824888470243,7.85777830108455e-05
2008,"Oregon","OR",20653,267.5,16057.6,360.16,3768748,0.00548006924315449,7.09784787945493e-05
2008,"Pennsylvania","PA",15378,400.2,15222.1,523.41,12612285,0.00121928738527555,3.17309670690125e-05
2008,"Rhode Island","RI",1196,34.8,1264.9,44.97,1055003,0.00113364606546143,3.29856881923558e-05
2008,"South Carolina","SC",5660,343.8,5228,469.11,4528996,0.00124972510463688,7.591086412971e-05
2008,"South Dakota","SD",579,245.5,839.2,333.56,799124,0.00072454337499562,0.000307211396479145
2008,"Tennessee","TN",9705,683.7,9710.7,893,6247411,0.00155344349843479,0.000109437333320955
2008,"Texas","TX",40190,0,32773.3,1161.96,24309039,0.00165329448029599,0
2008,"Utah","UT",3434,129.1,3237.1,204.88,2663029,0.00128950905153493,4.84786309123934e-05
2008,"Vermont","VT",954,79.4,1238,86.63,624151,0.00152847628218172,0.000127212805875501
2008,"Virginia","VA",8469,0,8130.1,745.68,7833496,0.00108112648554362,0
2008,"Washington","WA",21954,296,20838.4,384.88,6562231,0.00334550856256051,4.51066108462198e-05
2008,"West Virginia","WV",2016,327.4,2045.2,470.39,1840310,0.00109546761143503,0.000177904809515788
2008,"Wisconsin","WI",5449,439.4,5966.8,580.5,5640996,0.000965964166611712,7.78940456614399e-05
2008,"Wyoming","WY",751,88.1,859.8,127.62,546043,0.00137534956038261,0.000161342604886428
2009,"Alabama","AL",6080,794.8,5106.3,624,4757938,0.00127786448667469,0.000167047153619908
2009,"Arizona","AZ",14721,166,11803.2,149.56,6343154,0.00232076976217194,2.6169946370528e-05
2009,"Arkansas","AR",2852,681,3211.4,633.61,2896843,0.000984520044752166,0.000235083502972029
2009,"California","CA",123678,712.7,123428.5,498.51,36961229,0.00334615496687083,1.92823674775533e-05
