Year,state.code,Sum_Total_Homeless
2007,AL,5452
2008,AL,5387
2009,AL,6080
2010,AL,6046
2011,AL,5558
2012,AL,5209
2013,AL,4689
2014,AL,4561
2015,AL,3970
2016,AL,4111
2007,AR,3836
2008,AR,3255
2009,AR,2852
2010,AR,2762
2011,AR,3424
2012,AR,4214
2013,AR,3812
2014,AR,2936
2015,AR,2560
2016,AR,2463
2007,AZ,14646
2008,AZ,12488
2009,AZ,14721
2010,AZ,13711
2011,AZ,10504
2012,AZ,11302
2013,AZ,10562
2014,AZ,10495
2015,AZ,9896
2016,AZ,9707
2007,CA,138986
2008,CA,136531
2009,CA,123678
2010,CA,123480
2011,CA,125128
2012,CA,120098
2013,CA,118552
2014,CA,113952
2015,CA,115738
2016,CA,118142
2007,CO,14225
2008,CO,14747
2009,CO,15268
2010,CO,15482
2011,CO,15116
2012,CO,16768
2013,CO,9754
2014,CO,10028
2015,CO,9953
2016,CO,10550
2007,CT,4482
2008,CT,4627
2009,CT,4605
2010,CT,4316
2011,CT,4456
2012,CT,4209
2013,CT,4448
2014,CT,4450
2015,CT,4047
2016,CT,3902
2007,DE,1061
2008,DE,933
2009,DE,1130
2010,DE,982
2011,DE,1035
2012,DE,1008
2013,DE,946
2014,DE,901
2015,DE,953
2016,DE,1070
2007,HI,6070
2008,HI,6061
2009,HI,5782
2010,HI,5834
2011,HI,6188
2012,HI,6246
2013,HI,6335
2014,HI,6918
2015,HI,7620
2016,HI,7921
2007,IA,2734
2008,IA,3346
2009,IA,3380
2010,IA,3014
2011,IA,3134
2012,IA,2928
2013,IA,3084
2014,IA,3122
2015,IA,3081
2016,IA,3064
2007,ID,1749
2008,ID,1464
2009,ID,1939
2010,ID,2346
2011,ID,2199
2012,ID,1968
2013,ID,1781
2014,ID,2104
2015,ID,1966
2016,ID,2247
2007,IL,15487
2008,IL,14724
2009,IL,14055
2010,IL,14395
2011,IL,14009
2012,IL,14144
2013,IL,13425
2014,IL,13107
2015,IL,13177
2016,IL,11590
2007,IN,7358
2008,IN,7395
2009,IN,6984
2010,IN,6452
2011,IN,6196
2012,IN,6259
2013,IN,6096
2014,IN,5971
2015,IN,5863
2016,IN,5798
2007,KS,1924
2008,KS,1572
2009,KS,1670
2010,KS,1809
2011,KS,2308
2012,KS,2458
2013,KS,2331
2014,KS,2521
2015,KS,2348
2016,KS,2008
2007,KY,8061
2008,KY,8137
2009,KY,5999
2010,KY,6623
2011,KY,6034
2012,KY,5230
2013,KY,5245
2014,KY,5089
2015,KY,4538
2016,KY,4237
2007,LA,5494
2008,LA,5481
2009,LA,12504
2010,LA,12482
2011,LA,9291
2012,LA,7772
2013,LA,5226
2014,LA,4606
2015,LA,4081
2016,LA,3994
2007,MA,15127
2008,MA,14506
2009,MA,15482
2010,MA,16646
2011,MA,16664
2012,MA,17501
2013,MA,19029
2014,MA,21237
2015,MA,21135
2016,MA,19608
2007,MD,9628
2008,MD,9219
2009,MD,11698
2010,MD,10845
2011,MD,10208
