"year","division","region","state","state.code","est_pop","sum_total_homeless","sum_unemploy_rate","mean.homeless","mean.unemploy","homeless_proportion","unemploy_proportion"
2007,"East South Central","South","Alabama","AL",4672840,5452,351.1,5106.3,624,0.00116674228092552,7.51363196685527e-05
2007,"Mountain","West","Arizona","AZ",6167681,14646,82.8,11803.2,149.56,0.00237463643142374,1.34248188257467e-05
2007,"West South Central","South","Arkansas","AR",2848650,3836,521.4,3211.4,633.61,0.0013466027767539,0.000183034068769417
2007,"Pacific","West","California","CA",36250311,138986,437,123428.5,498.51,0.00383406365810213,1.2055068989615e-05
2007,"Mountain","West","Colorado","CO",4803868,14225,267.3,13189.1,415.96,0.00296115546888466,5.56426612887781e-05
2007,"New England","Northeast","Connecticut","CT",3527270,4482,38.5,4354.2,58.62,0.00127067108557043,1.09149568930079e-05
2007,"South Atlantic","South","Delaware","DE",871749,1061,11.5,1001.9,20.7,0.00121709345235842,1.31918705957793e-05
2007,"Pacific","West","Hawaii","HI",1315675,6070,10.4,6497.5,22.91,0.00461360138332035,7.90468770783058e-06
2007,"Mountain","West","Idaho","ID",1505105,1749,237.2,1976.3,352.13,0.00116204517292813,0.000157596978283907
2007,"East North Central","Midwest","Illinois","IL",12695866,15487,577.8,13811.3,890.01,0.00121984589314348,4.55108773202238e-05
2007,"East North Central","Midwest","Indiana","IN",6379599,7358,530.6,6437.2,755.65,0.00115336402805255,8.31713717429575e-05
2007,"West North Central","Midwest","Iowa","IA",2999212,2734,479.8,3088.7,585.65,0.000911572773115072,0.000159975353526193
2007,"West North Central","Midwest","Kansas","KS",2783785,1924,440.2,2094.9,532.9,0.000691145329111264,0.000158130028001444
2007,"East South Central","South","Kentucky","KY",4256672,8061,866.8,5919.3,939.44,0.00189373294442231,0.00020363326091369
2007,"West South Central","South","Louisiana","LA",4375581,5494,0,7093.1,328.47,0.00125560468426936,0
2007,"New England","Northeast","Maine","ME",1327040,2638,97.1,2528.8,128.84,0.00198788280684832,7.317036411864e-05
2007,"South Atlantic","South","Maryland","MD",5653408,9628,111.9,9319.2,175.84,0.0017030435447079,1.97933706535951e-05
2007,"New England","Northeast","Massachusetts","MA",6431559,15127,83.1,17693.5,113.1,0.0023519958380231,1.29206620043445e-05
2007,"East North Central","Midwest","Michigan","MI",10001284,28295,780.8,15296.9,658.28,0.00282913673884273,7.80699758151053e-05
2007,"West North Central","Midwest","Minnesota","MN",5207203,7323,602.7,7727.1,651.42,0.00140632120545329,0.000115743519121494
2007,"East South Central","South","Mississippi","MS",2928350,1377,674,2194.7,851.98,0.00047023067597794,0.000230163744087968
2007,"West North Central","Midwest","Missouri","MO",5887612,6434,660,7911,917.75,0.00109280299041445,0.000112099778314196
2007,"Mountain","West","Montana","MT",964706,1150,241.9,1572.9,354.64,0.00119207302535695,0.000250749969420735
2007,"West North Central","Midwest","Nebraska","NE",1783440,3531,329.2,3411.7,381.19,0.00197988157717669,0.000184587090117974
2007,"Mountain","West","Nevada","NV",2601072,8642,88,8907.1,156.47,0.00332247627132198,3.38322045679627e-05
2007,"New England","Northeast","New Hampshire","NH",1312540,2248,42.6,1608.5,52.18,0.00171270970789462,3.245615371722e-05
2007,"Middle Atlantic","Northeast","New Jersey","NJ",8677885,17314,108.1,12788,175.24,0.00199518661517178,1.24569523564786e-05
2007,"Mountain","West","New Mexico","NM",1990070,3015,146.9,3028.3,241.53,0.00151502208465029,7.38164989171235e-05
2007,"Middle Atlantic","Northeast","New York","NY",19132335,62601,346.4,71603.2,497.59,0.0032719999937279,1.81054743187384e-05
2007,"South Atlantic","South","North Carolina","NC",9118037,11802,578.6,11964.5,935.65,0.00129435754647629,6.34566409414658e-05
2007,"West North Central","Midwest","North Dakota","ND",652822,636,249.6,966.9,249.92,0.000974231873313093,0.000382340055941742
2007,"East North Central","Midwest","Ohio","OH",11500468,11264,605.8,12218.6,807.37,0.000979438401985032,5.26761171806226e-05
2007,"West South Central","South","Oklahoma","OK",3634349,4221,357.3,4427.4,436.06,0.00116141845485945,9.83119672876766e-05
2007,"Pacific","West","Oregon","OR",3722417,17590,253.1,16057.6,360.16,0.00472542436809202,6.79934569394025e-05
2007,"Middle Atlantic","Northeast","Pennsylvania","PA",12563937,16220,374.3,15222.1,523.41,0.00129099660401035,2.97916170703498e-05
2007,"New England","Northeast","Rhode Island","RI",1057315,1372,27.4,1264.9,44.97,0.00129762653513853,2.59146990253614e-05
2007,"South Atlantic","South","South Carolina","SC",4444110,5660,368.5,5228,469.11,0.00127359583808682,8.29187396351575e-05
2007,"West North Central","Midwest","South Dakota","SD",791623,579,294.4,839.2,333.56,0.000731408764020247,0.000371894197111504
2007,"East South Central","South","Tennessee","TN",6175727,11210,590.4,9710.7,893,0.00181517091024263,9.56000807678189e-05
2007,"West South Central","South","Texas","TX",23831983,39788,0,32773.3,1161.96,0.00166952116405924,0
2007,"Mountain","West","Utah","UT",2597746,3011,108.3,3237.1,204.88,0.0011590817578008,4.16899881666645e-05
2007,"New England","Northeast","Vermont","VT",623481,1035,72.2,1238,86.63,0.00166003454796538,0.000115801443829082
